date,times
2013/1/31,3:15:00
2013/6/20,2:00:00
2013/8/1,2:00:00
2013/9/19,2:00:00
2013/10/31,2:00:00
2013/12/19,3:00:00
2014/1/30,3:00:00
2014/3/20,2:00:00
2014/5/1,2:00:00
2014/6/19,2:00:00
2014/7/31,2:00:00
2014/9/18,2:00:00
2014/10/30,2:00:00
2014/12/18,3:00:00
2015/1/29,3:00:00
2015/3/19,2:00:00
2015/4/30,2:00:00
2015/6/18,2:00:00
2015/7/30,2:00:00
2015/9/18,2:00:00
2015/10/29,2:00:00
2015/12/17,3:00:00
2016/1/28,3:00:00
2016/3/17,2:00:00
2016/4/28,2:00:00
2016/6/16,2:00:00
2016/7/28,2:00:00
2016/9/22,2:00:00
2016/11/3,2:00:00
2016/12/15,3:00:00
2017/2/2,3:00:00
2017/3/16,2:00:00
2017/5/4,2:00:00
2017/6/15,2:00:00
2017/7/27,2:00:00
2017/9/21,2:00:00
2017/11/2,2:00:00
2017/12/14,3:00:00
2018/2/1,3:00:00
2018/3/22,2:00:00
2018/5/3,2:00:00
2018/6/14,2:00:00
2018/8/2,2:00:00
2018/9/27,2:00:00
2018/11/9,3:00:00
2018/12/20,3:00:00
2019/1/31,3:00:00
2019/3/21,2:00:00
2019/5/2,2:00:00
2019/6/20,2:00:00
2019/8/1,2:00:00
2019/9/19,2:00:00
2019/10/31,2:00:00
2019/12/12,3:00:00
2020/1/30,3:00:00
2020/3/3,23:00:00
2020/4/30,2:00:00
2020/6/11,2:00:00
2020/7/30,2:00:00
2020/9/17,2:00:00
2020/11/6,3:00:00
2020/12/17,3:00:00
2021/1/28,3:00:00
2021/3/18,2:00:00
2021/4/29,2:00:00
2021/6/17,2:00:00
2021/7/29,2:00:00
2021/9/23,2:00:00
2021/11/4,2:00:00
2021/12/16,3:00:00
2022/1/27,3:00:00
2022/3/17,2:00:00
2022/5/5,2:00:00
2022/6/16,2:00:00
2022/7/28,2:00:00
2022/9/22,2:00:00
2022/11/3,2:00:00
2022/12/15,3:00:00
